,city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
235,Gao,64,ML,1584327412,12,16.64,1.64,77.45,11.95
236,Pisco,99,PE,1584326945,83,-13.7,-76.22,73.4,8.05
237,Jhalidā,75,IN,1584327412,93,23.37,85.97,71.6,2.24
238,Fukuechō,40,JP,1584327412,49,32.69,128.84,50.0,11.41
239,Talnakh,75,RU,1584327025,76,69.49,88.4,-11.2,11.18
240,Shelburne,1,CA,1584327051,67,44.08,-80.2,30.0,4.5
241,Olinda,75,BR,1584327412,94,-8.01,-34.86,75.2,5.82
242,Flinders,75,AU,1584327014,88,-34.58,150.86,69.01,16.11
243,Nadym,0,RU,1584327413,87,65.53,72.52,-8.05,6.82
244,Solnechnyy,65,RU,1584327413,88,50.72,136.63,16.5,5.48
245,Saldanha,99,ZA,1584327065,63,-33.01,17.94,64.4,6.93
246,Dunedin,88,NZ,1584327413,82,-45.87,170.5,54.0,3.0
247,Natal,75,BR,1584327413,94,-5.79,-35.21,77.0,3.36
248,Río Gallegos,100,AR,1584327158,58,-51.62,-69.22,62.96,16.04
249,Tsuyama,75,JP,1584327413,93,35.05,134.0,48.0,6.93
250,Deputatsky,0,RU,1584327413,81,69.3,139.9,-16.01,3.56
251,Slave Lake,1,CA,1584327153,60,55.28,-114.77,10.4,8.05
252,Atyrau,100,KZ,1584327413,51,47.12,51.88,35.6,15.66
253,Hyères,0,FR,1584327413,81,43.12,6.12,55.4,3.36
254,Bandarbeyla,100,SO,1584327000,71,9.49,50.81,79.02,6.4
255,Santiago de Cao,40,PE,1584327413,83,-7.96,-79.24,73.4,8.05
256,Erenhot,28,CN,1584327413,37,43.65,111.98,42.57,20.67
257,Sechura,99,PE,1584326981,77,-5.56,-80.82,76.78,7.58
258,Rincon,75,US,1584327082,82,32.3,-81.24,66.2,13.87
259,Khonsa,100,IN,1584327413,88,27.02,95.57,65.19,1.83
260,Itaituba,100,BR,1584327295,98,-4.28,-55.98,69.91,1.61
261,Chapais,1,CA,1584327249,83,49.78,-74.85,-13.0,0.89
262,Qaqortoq,22,GL,1584327115,48,60.72,-46.03,21.2,3.36
263,Mahébourg,40,MU,1584326712,88,-20.41,57.7,75.2,2.24
264,Roald,90,NO,1584327413,64,62.58,6.13,35.6,14.99
265,Grootfontein,100,NA,1584327414,74,-19.57,18.12,69.89,1.61
266,Basco,7,PH,1584327414,71,20.45,121.97,70.25,24.58
267,Dubai,0,AE,1584327320,46,25.26,55.3,73.4,5.82
268,Saryg-Sep,100,RU,1584327414,83,51.5,95.6,27.73,1.52
269,Xai-Xai,58,MZ,1584327414,90,-25.05,33.64,73.51,5.1
270,Provideniya,90,RU,1584327070,92,64.38,-173.3,23.0,8.95
271,Marawi,32,PH,1584327414,77,8.0,124.29,81.0,5.01
272,Saint-Louis,0,SN,1584327414,29,16.33,-15.0,69.12,11.41
273,Straumen,75,NO,1584327414,83,63.87,11.3,34.0,19.46
274,Saint George,1,US,1584327050,62,37.1,-113.58,57.99,8.05
275,Peniche,40,PT,1584327414,81,39.36,-9.38,52.0,3.36
276,Mackay,27,AU,1584327414,65,-21.15,149.2,84.99,19.46
277,Longyearbyen,90,SJ,1584327001,84,78.22,15.64,-0.4,5.82
278,Jumla,0,NP,1584327414,27,29.27,82.18,38.73,4.21
